"Nombre del solicitante","Rut del solicitante","Correo","Título de la necesidad","Descripción de la necesidad","Categoría","Tipo de entidad","Comuna","Palabras Clave","Objetivos de Desarrollo Sostenible","Imagen"
"María García","862988883-4","maríagarcía@correo.com","Exploración y Resolviendo Problemáticas Urgentes","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Educación","Comanditaria","Collipulli","Alegría*Compartir*Renovación","FIN DE LA POBREZA*ACCIÓN POR EL CLIMA*HAMBRE CERO","https://sivi.ufro.cl/img/home/bloque_fc.png"
"María García","75810930-9","maríagarcía@correo.com","Cambio climático y Enfrentando Desafíos en Necesidad","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Salud","Mixta","Perquenco","Comunicación*Agradecimiento*Renovación","FIN DE LA POBREZA*PAZ*ALIANZAS PARA LOGRAR LOS OBJETIVOS","https://sivi.ufro.cl/img/home/bloque_fc.png"
"Diego Martínez","70546620-2","diegomartínez@correo.com","Viaje en Situaciones de Requisitos Fundamentales","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Tecnología","Privada","Collipulli","Viaje*Sinceridad*Comunidad","HAMBRE CERO*TRABAJO DECENTE Y CRECIMIENTO ECONÓMICO*ACCIÓN POR EL CLIMA","https://sivi.ufro.cl/img/home/bloque_fc.png"
"Diego Hernández","680751059-1","diegohernández@correo.com","Exploración y Satisfaciendo Requisitos Cotidianos","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Desarrollo","Regional","Curarrehue","Crecimiento*Inclusión*Cooperación","HAMBRE CERO*ENERGÍA ASEQUIBLE Y NO CONTAMINANTE*INDUSTRIA","https://sivi.ufro.cl/img/home/bloque_fc.png"
"Matias Villagra","59480776-3","matiasvillagra@correo.com","Reflejo de la Naturaleza en Apoyo para Necesidades Cruciales","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Medio Ambiente","Religiosa","Los Sauces","Riqueza*Aprendizaje*Esperanza","ALIANZAS PARA LOGRAR LOS OBJETIVOS*TRABAJO DECENTE Y CRECIMIENTO ECONÓMICO*ENERGÍA ASEQUIBLE Y NO CONTAMINANTE","https://sivi.ufro.cl/img/home/bloque_fc.png"
"Michael Roudergue","333955633-4","michaelroudergue@correo.com","Tecnología para Soluciones Fundamentales","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Cultura","Mixta","Victoria","Curiosidad*Sonrisa*Aventura","REDUCCIÓN DE LAS DESIGUALDADES*FIN DE LA POBREZA*CIUDADES Y COMUNIDADES SOSTENIBLES","https://sivi.ufro.cl/img/home/bloque_fc.png"
"Gabriel Gutierrez","878219916-2","gabrielgutierrez@correo.com","Reflejo de la Naturaleza en Cobriendo Carencias Emergentes","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Igualdad","Local","Pitrufquén","Renovación*Autoaceptación*Aprendizaje","FIN DE LA POBREZA*REDUCCIÓN DE LAS DESIGUALDADES*EDUCACIÓN DE CALIDAD","https://sivi.ufro.cl/img/home/bloque_fc.png"
"Jorge González","114896543-7","jorgegonzález@correo.com","Viaje y Proporcionando Soluciones para Necesidades Vitales","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Agricultura","Multinacional","Villarrica","Perseverancia*Felicidad*Naturaleza","FIN DE LA POBREZA*VIDA SUBMARINA*REDUCCIÓN DE LAS DESIGUALDADES","https://sivi.ufro.cl/img/home/bloque_fc.png"
"Sofía Rodríguez","650442818-3","sofíarodríguez@correo.com","Libertad y Cuidado en Momentos Importantes","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Salud","Privada","Victoria","Cuidado*Generosidad*Realización","IGUALDAD DE GÉNERO*AGUA Y SANEAMIENTO*REDUCCIÓN DE LAS DESIGUALDADES","https://sivi.ufro.cl/img/home/bloque_fc.png"
"Sofía Rodríguez","941858203-6","sofíarodríguez@correo.com","Reflejo de la Familia en Brindando Asistencia en Necesidad","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Tecnología","Cooperativa","Lumaco","Intención*Innovación*Futuro","PAZ*HAMBRE CERO*FIN DE LA POBREZA","https://sivi.ufro.cl/img/home/bloque_fc.png"
"Matias Villagra","764634005-4","matiasvillagra@correo.com","Trabajo en Satisfacción de Carencias Inaplazables","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Desarrollo","Sin Fines de Lucro","Villarrica","Pasión*Comunicación*Empoderamiento","AGUA Y SANEAMIENTO*SALUD Y BIENESTAR*CIUDADES Y COMUNIDADES SOSTENIBLES","https://sivi.ufro.cl/img/home/bloque_fc.png"
"Michael Roudergue","626982144-5","michaelroudergue@correo.com","Reflejo de la Tecnología en Satisfacción de Carencias Fundamentales","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Desarrollo","Cooperativa","Purén","Sonrisa*Curiosidad*Serenidad","HAMBRE CERO*AGUA Y SANEAMIENTO*EDUCACIÓN DE CALIDAD","https://sivi.ufro.cl/img/home/bloque_fc.png"
"Michael Roudergue","84581203-8","michaelroudergue@correo.com","Cultura y Resolviendo Problemáticas Urgentes","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Desarrollo","Pública","Toltén","Equilibrio*Alegría*Resiliencia","PAZ*FIN DE LA POBREZA*HAMBRE CERO","https://sivi.ufro.cl/img/home/bloque_fc.png"
"Andrés Martínez","609833461-6","andrésmartínez@correo.com","Innovación para la Atención de Demandas Emergentes","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Desarrollo","Religiosa","Lumaco","Generosidad*Apreciación*Admiración","AGUA Y SANEAMIENTO*ENERGÍA ASEQUIBLE Y NO CONTAMINANTE*CIUDADES Y COMUNIDADES SOSTENIBLES","https://sivi.ufro.cl/img/home/bloque_fc.png"
"Diego Hernández","582496383-5","diegohernández@correo.com","Cultura en Cuidado en Momentos Importantes","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Desarrollo","Comercial","Saavedra","Amistad*Esperanza*Paciencia","EDUCACIÓN DE CALIDAD*ACCIÓN POR EL CLIMA*VIDA SUBMARINA","https://sivi.ufro.cl/img/home/bloque_fc.png"
"Diego Martínez","606627199-0","diegomartínez@correo.com","Cambio climático y Proporcionando Soluciones para Necesidades Vitales","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Desarrollo","Religiosa","Lautaro","Transformación*Vitalidad*Comunicación","CIUDADES Y COMUNIDADES SOSTENIBLES*REDUCCIÓN DE LAS DESIGUALDADES*SALUD Y BIENESTAR","https://sivi.ufro.cl/img/home/bloque_fc.png"
"Matias Villagra","301494273-1","matiasvillagra@correo.com","Reflejo de la Familia en Brindando Asistencia en Necesidad","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Salud","Educativa","Ercilla","Generosidad*Integridad*Efecto","PRODUCCIÓN Y CONSUMO RESPONSABLES*ACCIÓN POR EL CLIMA*PAZ","https://sivi.ufro.cl/img/home/bloque_fc.png"
"Andrés Martínez","19423485-7","andrésmartínez@correo.com","Cambio climático y Enfrentando Desafíos en Necesidad","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Desarrollo","Regional","Lonquimay","Cooperación*Reflexión*Confianza","IGUALDAD DE GÉNERO*ENERGÍA ASEQUIBLE Y NO CONTAMINANTE*AGUA Y SANEAMIENTO","https://sivi.ufro.cl/img/home/bloque_fc.png"
"Sofía Rodríguez","755916841-0","sofíarodríguez@correo.com","Viaje y Cobertura de Requisitos Cruciales","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Tecnología","Sanitaria","Los Sauces","Serenidad*Confianza*Amor","FIN DE LA POBREZA*TRABAJO DECENTE Y CRECIMIENTO ECONÓMICO*ALIANZAS PARA LOGRAR LOS OBJETIVOS","https://sivi.ufro.cl/img/home/bloque_fc.png"
"Juan Pérez","586331824-9","juanpérez@correo.com","Viaje en Satisfaciendo Requisitos Cotidianos","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Educación","Privada","Angol","Cambio social*Generosidad*Sabiduría","ENERGÍA ASEQUIBLE Y NO CONTAMINANTE*PRODUCCIÓN Y CONSUMO RESPONSABLES*IGUALDAD DE GÉNERO","https://sivi.ufro.cl/img/home/bloque_fc.png"
"Gabriel Gutierrez","303744482-0","gabrielgutierrez@correo.com","Armonía en Apoyo en Situaciones Críticas","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Salud","Nacional","Temuco","Confianza*Aprendizaje*Inclusión","CIUDADES Y COMUNIDADES SOSTENIBLES*ALIANZAS PARA LOGRAR LOS OBJETIVOS*PRODUCCIÓN Y CONSUMO RESPONSABLES","https://sivi.ufro.cl/img/home/bloque_fc.png"
"Andrés Martínez","428248391-4","andrésmartínez@correo.com","Cultura en Apoyo en Situaciones Críticas","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Tecnología","Regional","Perquenco","Perdón*Autocontrol*Autoestima","SALUD Y BIENESTAR*HAMBRE CERO*VIDA SUBMARINA","https://sivi.ufro.cl/img/home/bloque_fc.png"
"Matias Villagra","343173476-9","matiasvillagra@correo.com","Amor y Tiempo: Brindando Ayuda Vital","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Salud","Artesanal","Padre las Casas","Felicidad*Desarrollo*Perdón","HAMBRE CERO*ACCIÓN POR EL CLIMA*AGUA Y SANEAMIENTO","https://sivi.ufro.cl/img/home/bloque_fc.png"
"Luis Mena","868725694-6","luismena@correo.com","Cultura y Apoyo para Necesidades Cruciales","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Igualdad","Multinacional","Victoria","Inspiración*Alegría*Belleza","EDUCACIÓN DE CALIDAD*PAZ*PRODUCCIÓN Y CONSUMO RESPONSABLES","https://sivi.ufro.cl/img/home/bloque_fc.png"
"Ana López","613650410-5","analópez@correo.com","Trabajo para Enfrentando Obstáculos Cruciales","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Cultura","Local","Traiguén","Aventura*Emprendimiento*Sabiduría","ALIANZAS PARA LOGRAR LOS OBJETIVOS*PAZ*FIN DE LA POBREZA","https://sivi.ufro.cl/img/home/bloque_fc.png"
"Michael Roudergue","418345646-4","michaelroudergue@correo.com","Reflejo de la Comunidad en Brindando Respuestas en Necesidad","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Desarrollo","Comanditaria","Vilcún","Inspiración*Crecimiento*Autoconciencia","REDUCCIÓN DE LAS DESIGUALDADES*VIDA SUBMARINA*EDUCACIÓN DE CALIDAD","https://sivi.ufro.cl/img/home/bloque_fc.png"
"Andrés Martínez","336238434-2","andrésmartínez@correo.com","Libertad y Cuidado en Momentos Importantes","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Cultura","Educativa","Lonquimay","Gratitud*Renovación*Empoderamiento","CIUDADES Y COMUNIDADES SOSTENIBLES*ALIANZAS PARA LOGRAR LOS OBJETIVOS*PRODUCCIÓN Y CONSUMO RESPONSABLES","https://sivi.ufro.cl/img/home/bloque_fc.png"
"Ana López","335378385-4","analópez@correo.com","Cambio climático en Brindando Respuestas Urgentes","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Cultura","Regional","Carahue","Innovación*Riqueza*Innovación","VIDA DE ECOSISTEMAS TERRESTRES*PRODUCCIÓN Y CONSUMO RESPONSABLES*REDUCCIÓN DE LAS DESIGUALDADES","https://sivi.ufro.cl/img/home/bloque_fc.png"
"Matias Villagra","884695381-3","matiasvillagra@correo.com","Cultura en Superando Situaciones Cotidianas","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Agricultura","Sociedad Anónima","Ercilla","Sinceridad*Gratitud*Alegría","AGUA Y SANEAMIENTO*SALUD Y BIENESTAR*FIN DE LA POBREZA","https://sivi.ufro.cl/img/home/bloque_fc.png"
"Sofía Rodríguez","863080952-1","sofíarodríguez@correo.com","Cultura en Satisfacción de Carencias Fundamentales","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Igualdad","Local","Curarrehue","Libertad*Paz*Educación","VIDA DE ECOSISTEMAS TERRESTRES*TRABAJO DECENTE Y CRECIMIENTO ECONÓMICO*EDUCACIÓN DE CALIDAD","https://sivi.ufro.cl/img/home/bloque_fc.png"
"Sofía Rodríguez","498435070-4","sofíarodríguez@correo.com","Exploración en Abordando Necesidades Esenciales","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Desarrollo","Nacional","Lautaro","Éxito*Compartir*Cambio climático","PAZ*PRODUCCIÓN Y CONSUMO RESPONSABLES*IGUALDAD DE GÉNERO","https://sivi.ufro.cl/img/home/bloque_fc.png"
"Ana López","158201311-5","analópez@correo.com","Reflejo de la Comunidad en Satisfacción de Demandas Apremiantes","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Medio Ambiente","Regional","Traiguén","Viaje*Sonrisa*Aprendizaje","FIN DE LA POBREZA*VIDA SUBMARINA*IGUALDAD DE GÉNERO","https://sivi.ufro.cl/img/home/bloque_fc.png"
"Juan Pérez","151524163-8","juanpérez@correo.com","Exploración en Apoyo en Situaciones Críticas","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Medio Ambiente","Regional","Pucón","Humildad*Gratitud*Felicidad","REDUCCIÓN DE LAS DESIGUALDADES*ALIANZAS PARA LOGRAR LOS OBJETIVOS*TRABAJO DECENTE Y CRECIMIENTO ECONÓMICO","https://sivi.ufro.cl/img/home/bloque_fc.png"
"Luis Mena","116393374-4","luismena@correo.com","Cambio climático en Cuidado en Momentos Importantes","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Salud","Multinacional","Purén","Cambio climático*Amor*Salud","ENERGÍA ASEQUIBLE Y NO CONTAMINANTE*IGUALDAD DE GÉNERO*SALUD Y BIENESTAR","https://sivi.ufro.cl/img/home/bloque_fc.png"
"Michael Roudergue","571882596-6","michaelroudergue@correo.com","Innovación para la Atención de Demandas Emergentes","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Tecnología","Regional","Freire","Cooperación*Inclusión*Paciencia","SALUD Y BIENESTAR*ALIANZAS PARA LOGRAR LOS OBJETIVOS*ACCIÓN POR EL CLIMA","https://sivi.ufro.cl/img/home/bloque_fc.png"
"Andrés Martínez","62295998-1","andrésmartínez@correo.com","Reflejo de la Innovación en Resolviendo Problemáticas Urgentes","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Tecnología","Mixta","Lonquimay","Comunicación*Humildad*Compañerismo","PRODUCCIÓN Y CONSUMO RESPONSABLES*EDUCACIÓN DE CALIDAD*PAZ","https://sivi.ufro.cl/img/home/bloque_fc.png"
"Matias Villagra","3128202-5","matiasvillagra@correo.com","Libertad y Satisfaciendo Requisitos Cotidianos","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Medio Ambiente","Cooperativa","Loncoche","Servicio*Autenticidad*Conocimiento","REDUCCIÓN DE LAS DESIGUALDADES*IGUALDAD DE GÉNERO*EDUCACIÓN DE CALIDAD","https://sivi.ufro.cl/img/home/bloque_fc.png"
